date,USD,EUR,GBP
2024-08-09,40.9926,44.809,52.0504
2024-08-10,40.9926,44.809,52.0504
2024-08-11,40.9926,44.809,52.0504
2024-08-12,41.119,44.8855,52.3897
2024-08-13,41.283,45.1058,52.7101
2024-08-14,41.3464,45.1957,52.882
2024-08-15,41.3262,45.5497,53.0918
2024-08-16,41.1382,45.3055,52.9078
2024-08-17,41.1382,45.3055,52.9078
2024-08-18,41.1382,45.3055,52.9078
2024-08-19,41.211,45.2991,53.1931
2024-08-20,41.3027,45.6085,53.5138
2024-08-21,41.3459,45.8195,53.7931
2024-08-22,41.2975,45.898,53.821
2024-08-23,41.2881,45.9826,54.137
2024-08-24,41.2881,45.9826,54.137
2024-08-25,41.2881,45.9826,54.137
2024-08-26,41.2236,45.8406,54.1019
2024-08-27,41.3591,46.1816,54.5444
2024-08-28,41.3008,46.1041,54.6059
2024-08-29,41.2508,45.8791,54.4923
2024-08-30,41.1901,45.7045,54.3009
2024-08-31,41.1901,45.7045,54.3009
2024-09-01,41.1901,45.7045,54.3009
2024-09-02,41.0592,45.5018,54.1181
2024-09-03,41.0976,45.4622,53.9735
2024-09-04,41.264,45.5431,54.1466
2024-09-05,41.2766,45.6065,54.1466
2024-09-06,41.089,45.5882,54.0731
2024-09-07,41.089,45.5882,54.0731
2024-09-08,41.089,45.5882,54.0731
2024-09-09,41.0168,45.5574,54.0437
2024-09-10,41.0948,45.383,53.7767
2024-09-11,41.14,45.3774,53.842
2024-09-12,41.1855,45.4894,53.9159
2024-09-13,41.2743,45.4595,53.8217
2024-09-14,41.2743,45.4595,53.8217
2024-09-15,41.2743,45.4595,53.8217
2024-09-16,41.3171,45.7959,54.208
2024-09-17,41.3591,46.0079,54.5899
2024-09-18,41.41,46.1245,54.7523
2024-09-19,41.4508,46.1099,54.7648
2024-09-20,41.4445,46.2396,55.0487
2024-09-21,41.4445,46.2396,55.0487
2024-09-22,41.4445,46.2396,55.0487
2024-09-23,41.3481,46.1486,54.9826
2024-09-24,41.3567,45.9928,55.0623
2024-09-25,41.3744,46.0414,55.3134
2024-09-26,41.2647,46.1958,55.1874
2024-09-27,41.2085,45.9598,55.1164
2024-09-28,41.2085,45.9598,55.1164
2024-09-29,41.2085,45.9598,55.1164
2024-09-30,41.1664,45.9541,55.1239
2024-10-01,41.2199,46.1539,55.2429
2024-10-02,41.2476,45.7106,54.9336
2024-10-03,41.2755,45.7147,54.8716
2024-10-04,41.2202,45.5236,54.0562
2024-10-05,41.2202,45.5236,54.0562
2024-10-06,41.2202,45.5236,54.0562
2024-10-07,41.1859,45.4322,54.2315
2024-10-08,41.1961,45.221,53.8948
2024-10-09,41.1756,45.2437,53.9606
2024-10-10,41.1934,45.1274,53.8933
2024-10-11,41.2072,45.0477,53.8537
2024-10-12,41.2072,45.0477,53.8537
2024-10-13,41.2072,45.0477,53.8537
2024-10-14,41.1891,45.0238,53.7909
2024-10-15,41.1963,44.9575,53.7241
2024-10-16,41.2139,44.9232,53.9037
2024-10-17,41.2256,44.9132,53.717
2024-10-18,41.2351,44.7937,53.6675
2024-10-19,41.2351,44.7937,53.6675
2024-10-20,41.2351,44.7937,53.6675
2024-10-21,41.2308,44.7272,53.7773
2024-10-22,41.2833,44.813,53.755
2024-10-23,41.3313,44.7081,53.6356
2024-10-24,41.2739,44.4355,53.4641
2024-10-25,41.263,44.5413,53.5264
2024-10-26,41.263,44.5413,53.5264
2024-10-27,41.263,44.5413,53.5264
2024-10-28,41.3135,44.7136,53.6538
2024-10-29,41.3292,44.6975,53.6784
2024-10-30,41.3798,44.6074,53.7151
2024-10-31,41.279,44.635,53.4274
2024-11-01,41.2194,44.8467,53.4904
2024-11-02,41.2194,44.8467,53.4904
2024-11-03,41.2194,44.8467,53.4904
2024-11-04,41.2891,44.968,53.4983
2024-11-05,41.3954,45.1417,53.6733
2024-11-06,41.4375,45.1503,53.819
2024-11-07,41.4562,44.3374,53.3065
2024-11-08,41.3589,44.5642,53.5722
2024-11-09,41.3589,44.5642,53.5722
2024-11-10,41.3589,44.5642,53.5722
2024-11-11,41.2982,44.4864,53.4564
2024-11-12,41.2981,43.9949,53.2043
2024-11-13,41.3763,43.9416,53.0527
2024-11-14,41.3413,43.9499,52.6895
2024-11-15,41.2446,43.4677,52.2404
2024-11-16,41.2446,43.4677,52.2404
2024-11-17,41.2446,43.4677,52.2404
2024-11-18,41.2796,43.6532,52.326
2024-11-19,41.3715,43.6345,52.2398
2024-11-20,41.331,43.691,52.2507
2024-11-21,41.2533,43.5635,52.2597
2024-11-22,41.286,43.4659,52.1855
2024-11-23,41.286,43.4659,52.1855
2024-11-24,41.286,43.4659,52.1855
2024-11-25,41.3193,42.9927,51.6884
2024-11-26,41.4387,43.4733,52.0967
2024-11-27,41.5035,43.6824,52.3172
2024-11-28,41.601,43.8017,52.5296
2024-11-29,41.5956,43.8626,52.6871
2024-11-30,41.5956,43.8626,52.6871
2024-12-01,41.5956,43.8626,52.6871
2024-12-02,41.5847,43.901,52.7793
2024-12-03,41.6461,43.7242,52.7531
2024-12-04,41.6972,43.8238,52.7303
2024-12-05,41.6628,43.7043,52.7618
2024-12-06,41.5975,43.8146,52.9328
2024-12-07,41.5975,43.8146,52.9328
2024-12-08,41.5975,43.8146,52.9328
2024-12-09,41.4446,43.8567,52.9248
2024-12-10,41.5093,43.8525,52.9576
2024-12-11,41.6119,43.8215,53.0801
2024-12-12,41.6941,43.7997,53.1162
2024-12-13,41.6588,43.7042,53.0254
2024-12-14,41.6588,43.7042,53.0254
2024-12-15,41.6588,43.7042,53.0254
2024-12-16,41.607,43.7373,52.6786
2024-12-17,41.7403,43.8064,52.8223
2024-12-18,41.8271,43.9143,53.1413
2024-12-19,41.9048,43.9581,53.2505
