id,loan_amount,loan_days,age,monthly_income,dti,score_raw,rating,recommendation,fraud_score,fraud_risk,binary_decision,ml_probability,target,cluster
92,1000,10,42.7,12000,0.7083333333333334,387,C,Requires manual review,0,Clean,1,0.6977062531778168,0,0
93,2500,30,30.8,10000,0.8,392,C,Requires manual review,0,Clean,1,0.7563988535349747,1,0
94,4000,14,31.3,20700,0.6570048309178744,424,C,Requires manual review,0,Clean,1,0.714682566026579,0,0
95,3000,30,24.8,10000,0.2,380,C,Requires manual review,3,Medium,1,0.7545462477058256,1,0
96,1000,14,28.9,11500,0.34782608695652173,428,C,Requires manual review,0,Clean,1,0.7545775525950272,1,0
97,1400,12,40.9,13300,0.41353383458646614,424,C,Requires manual review,0,Clean,1,0.7545503767339191,1,0
98,1000,15,36.9,10000,0.43,408,C,Requires manual review,0,Clean,1,0.7335005550516568,0,0
99,2400,10,29.2,20000,0.725,418,C,Requires manual review,0,Clean,1,0.7544931120141978,1,0
100,1000,22,27.0,8900,0.6067415730337079,390,C,Requires manual review,0,Clean,1,0.765872125850335,1,0
101,2000,30,41.0,7000,1.0,372,C,Requires manual review,0,Clean,1,0.7770235614880255,1,0
102,3500,30,22.7,4000,0.875,329,D,Reject,1,Low,1,0.680934517768066,0,0
103,1500,18,30.2,8000,0.75,410,C,Requires manual review,0,Clean,1,0.7954659146843225,1,0
104,3000,12,26.7,13000,0.4230769230769231,406,C,Requires manual review,0,Clean,1,0.7655693142814284,1,0
105,3500,30,27.1,20000,0.75,380,C,Requires manual review,0,Clean,1,0.6460401574295287,0,0
106,2000,15,35.3,12000,0.5083333333333333,407,C,Requires manual review,0,Clean,1,0.7597824557773635,1,0
107,4000,16,47.3,15500,0.45161290322580644,413,C,Requires manual review,0,Clean,1,0.777122091514099,1,0
108,1500,30,24.1,10000,0.4,402,C,Requires manual review,0,Clean,1,0.7244441585070467,0,0
109,1100,20,23.2,17000,0.29411764705882354,389,C,Requires manual review,2,Low,1,0.7337411760616508,1,0
110,3750,30,21.3,8000,0.875,359,D,Reject,0,Clean,1,0.747969627121465,1,0
111,500,6,22.7,6000,0.4166666666666667,367,D,Reject,0,Clean,1,0.659581930687597,0,0
112,1700,4,60.0,9000,0.7777777777777778,374,C,Requires manual review,1,Low,1,0.7298642243046589,1,0
113,3500,30,26.9,12000,0.5833333333333334,385,C,Requires manual review,2,Low,1,0.7666485098136023,1,0
114,1000,30,30.4,7500,0.3333333333333333,363,D,Reject,2,Low,1,0.7545007590998828,1,0
115,1000,19,31.7,15000,0.83,395,C,Requires manual review,0,Clean,1,0.7738078238068576,1,0
116,1500,20,23.3,5000,0.6,377,C,Requires manual review,1,Low,1,0.7264240232253977,0,0
117,4000,30,29.1,12500,0.2,424,C,Requires manual review,0,Clean,1,0.7667633721392392,1,0
118,2500,30,25.2,15000,0.37666666666666665,421,C,Requires manual review,0,Clean,1,0.7712098902331125,0,0
119,2500,30,42.5,22000,0.22727272727272727,433,B,Conditionally approve,0,Clean,1,0.7736163706995057,1,0
120,1400,12,35.3,9500,0.7684210526315789,382,C,Requires manual review,0,Clean,1,0.7545282679276557,1,0
121,1000,15,56.1,22000,0.4090909090909091,400,C,Requires manual review,0,Clean,1,0.7544669341342743,1,0
122,500,5,25.1,8700,0.28735632183908044,427,C,Requires manual review,0,Clean,1,0.754513110946727,1,0
123,4000,14,37.9,15000,1.0,406,C,Requires manual review,0,Clean,1,0.7545503759556876,1,0
124,1500,30,24.3,25000,0.68,375,C,Requires manual review,0,Clean,1,0.6887954570253416,0,0
125,1500,10,41.6,15000,0.4666666666666667,425,C,Requires manual review,1,Low,1,0.7544993774882961,1,0
126,2500,30,40.1,12500,0.56,412,C,Requires manual review,0,Clean,1,0.7609469882004636,1,0
127,1000,30,26.4,8300,0.43132530120481927,416,C,Requires manual review,0,Clean,1,0.7352215343200256,0,0
128,2300,18,24.5,6000,0.6666666666666666,379,C,Requires manual review,0,Clean,1,0.7322186062789605,0,0
129,3500,30,48.1,8000,0.6875,400,C,Requires manual review,0,Clean,1,0.7691258479089981,1,0
130,1500,6,24.5,2400,0.625,354,D,Reject,0,Clean,1,0.7545550475217216,1,0
131,3500,30,43.0,7000,1.0,372,C,Requires manual review,0,Clean,1,0.7665680835972084,1,0
132,5000,30,30.0,40000,0.625,389,C,Requires manual review,3,Medium,1,0.6851941278513145,1,0
133,2000,21,31.7,4000,1.125,340,D,Reject,0,Clean,1,0.7593915608168459,1,0
134,5000,5,30.3,30000,0.6666666666666666,389,C,Requires manual review,6,Critical,0,0.5104834644746445,0,0
135,3000,17,32.9,5500,0.36363636363636365,397,C,Requires manual review,0,Clean,1,0.7545472700892271,1,0
136,3500,30,44.9,13000,0.6153846153846154,405,C,Requires manual review,0,Clean,1,0.7545101488469101,1,0
137,2000,14,35.9,10000,0.56,395,C,Requires manual review,2,Low,1,0.7545618942678175,1,0
138,1000,14,37.0,16000,0.375,413,C,Requires manual review,0,Clean,1,0.7484692317461807,0,0
139,3500,15,29.1,15000,0.3,418,C,Requires manual review,0,Clean,1,0.7281969762485043,1,0
140,4500,17,34.3,15000,0.48,432,B,Conditionally approve,0,Clean,1,0.7738683171657017,1,0
141,3500,24,39.3,10000,0.5,395,C,Requires manual review,0,Clean,1,0.73728599582207,0,0
142,1000,30,28.0,14000,0.6428571428571429,399,C,Requires manual review,0,Clean,1,0.750026399886546,0,0
143,3500,30,35.3,8000,0.875,412,C,Requires manual review,0,Clean,1,0.6896097184933986,0,0
144,600,28,24.4,8000,0.625,357,D,Reject,0,Clean,1,0.7425112202573481,1,0
145,400,30,35.1,6500,0.23076923076923078,407,C,Requires manual review,0,Clean,1,0.7868503363019758,1,0
146,5000,30,25.5,9000,0.9444444444444444,405,C,Requires manual review,0,Clean,1,0.7545341540265563,1,0
147,4250,24,31.1,12000,0.16666666666666666,440,B,Conditionally approve,0,Clean,1,0.7122174367909534,0,0
148,1000,30,33.2,13000,0.23076923076923078,440,B,Conditionally approve,0,Clean,1,0.7626629899636274,1,0
149,900,8,24.6,5000,0.4,355,D,Reject,0,Clean,1,0.6846262192898339,0,0
150,3000,24,45.2,15000,0.6333333333333333,405,C,Requires manual review,0,Clean,1,0.7643636429392827,1,0
151,1500,30,25.9,12300,0.5691056910569106,440,B,Conditionally approve,0,Clean,1,0.6846092431382955,1,0
152,2000,14,52.5,15000,0.6133333333333333,403,C,Requires manual review,0,Clean,1,0.754549802340771,1,0
153,1000,30,47.7,15000,0.3333333333333333,423,C,Requires manual review,0,Clean,1,0.7545086221443591,1,0
