id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
9,bbc,BBC News,"Thirteen killed in Israeli strikes on southern Lebanon, health ministry says","Four women and a child are among the dead, as fighting between Israel and Iran-backed Hezbollah continues despite a ceasefire.",War/Security,negative,2026-05-02T16:51:18+00:00,2026-05-02,16,Saturday
17,bbc,BBC News,Taiwan president visits Eswatini days after blaming China for cancelled trip,"It is unclear how he reached Eswatini. China described his visit as a ""stowaway-style escape farce"".",Culture,negative,2026-05-02T17:01:47+00:00,2026-05-02,17,Saturday
10,bbc,BBC News,Oil tanker hijacked off coast of Yemen and taken towards Somalia,It is the second time an oil tanker has been hijacked in the area in the past 10 days.,Economy,neutral,2026-05-02T17:53:07+00:00,2026-05-02,17,Saturday
11,dw,Deutsche Welle,Austria: Police arrest suspect over poisoned HiPP baby food,A 39-year-old man has been arrested in Austria for his alleged involvement in an attempt to blackmail a German baby food manufacturer.,Culture,negative,2026-05-02T18:10:00+00:00,2026-05-02,18,Saturday
6,euronews,Euronews,Iran executes two more over 'spying for Israel',"As Iran’s new wave of executions continues, the judiciary chief, defying international calls to halt them, vows no leniency and dismisses 'arrogant' foreign critics.",Economy,negative,2026-05-02T18:29:21+00:00,2026-05-02,18,Saturday
10,dw,Deutsche Welle,Why Russia's Northern Sea Route is a risky bet for global trade,"Russia wants its Northern Sea Route to become an important artery of global trade. However, the Arctic shortcut between Europe and Asia is fraught with both political and environmental hurdles.",Economy,neutral,2026-05-02T19:43:00+00:00,2026-05-02,19,Saturday
5,euronews,Euronews,Businessman dies after alleged beating in custody over brother’s Starlink detention,"Reports from Iran suggest that a citizen named Hesam Alaeeddin, son of the founder of Alaeddin Mall in Tehran, was killed while being taken into custody by security forces.",War/Security,negative,2026-05-02T20:23:43+00:00,2026-05-02,20,Saturday
11,bbc,BBC News,US Supreme Court asked to restore abortion pill access,"A lower court has limited mail-order access to the abortion pill mifepristone, which the drug's maker says will cause ""irreparable harm"".",Economy,positive,2026-05-02T21:06:31+00:00,2026-05-02,21,Saturday
30,bbc,BBC News,Dragonflies in distress: Scientists sound alarm in India's ecological hotspot,A new study reveals a decline in dragonfly and damselfly species in India's Western Ghats.,Society,negative,2026-05-02T22:13:11+00:00,2026-05-02,22,Saturday
13,bbc,BBC News,Trump tells Congress ceasefire means he does not need their approval for Iran war,"The president writes that hostilities ""have terminated"" because of the ceasefire, arguing he does not need congressional authorisation.",Culture,negative,2026-05-02T23:03:03+00:00,2026-05-02,23,Saturday
